
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,ID,
2.00126,10.2773,24.4336,um,Surface,BoundingBoxOO Length,1,2721,
2.33984,2.0296,6.22852,um,Surface,BoundingBoxOO Length,1,2722,
2.00459,5.47266,10.291,um,Surface,BoundingBoxOO Length,1,2723,
2.00336,6.44531,12.0977,um,Surface,BoundingBoxOO Length,1,2724,
2.0033,4.33008,4.75781,um,Surface,BoundingBoxOO Length,1,2725,
2.00439,3.77734,8.22266,um,Surface,BoundingBoxOO Length,1,2726,
2.00104,11.9336,16.1992,um,Surface,BoundingBoxOO Length,1,2727,
2.00252,6.42969,9.62109,um,Surface,BoundingBoxOO Length,1,2728,
2.00482,5.35938,11.082,um,Surface,BoundingBoxOO Length,1,2729,
2.00141,9.32813,15.418,um,Surface,BoundingBoxOO Length,1,2730,
2.00335,7.03125,9.44141,um,Surface,BoundingBoxOO Length,1,2731,
2.0044,4.74219,6.92578,um,Surface,BoundingBoxOO Length,1,2732,
2.00141,5.37109,10.998,um,Surface,BoundingBoxOO Length,1,2733,
2.00253,5.67578,12.502,um,Surface,BoundingBoxOO Length,1,2734,
2.00886,3.36328,7.15234,um,Surface,BoundingBoxOO Length,1,2735,
2.00376,6.48828,12.2305,um,Surface,BoundingBoxOO Length,1,2736,
2.00114,22.3164,29.2539,um,Surface,BoundingBoxOO Length,1,2737,
2.00244,8.46484,13.5781,um,Surface,BoundingBoxOO Length,1,2738,
2.00539,6.17969,9.72461,um,Surface,BoundingBoxOO Length,1,2739,
2.02362,3.23438,4.08984,um,Surface,BoundingBoxOO Length,1,2740,
2.00228,6.46484,13.6797,um,Surface,BoundingBoxOO Length,1,2741,
2.00144,11.7539,19.3984,um,Surface,BoundingBoxOO Length,1,2742,
2.00187,12.6191,27.1289,um,Surface,BoundingBoxOO Length,1,2743,
2.00094,12.6133,19.1172,um,Surface,BoundingBoxOO Length,1,2744,
2.00361,7.22656,10.2988,um,Surface,BoundingBoxOO Length,1,2745,
2.0047,4.76563,11.3125,um,Surface,BoundingBoxOO Length,1,2746,
2.00052,12.2031,23.1992,um,Surface,BoundingBoxOO Length,1,2747,
2.00123,9.34375,17.4727,um,Surface,BoundingBoxOO Length,1,2748,
2.00289,12.8438,17.7461,um,Surface,BoundingBoxOO Length,1,2749,
2.00245,6.88281,13.8984,um,Surface,BoundingBoxOO Length,1,2750,
2.00057,6.41406,16.1133,um,Surface,BoundingBoxOO Length,1,2751,
2.00342,10.75,13.9648,um,Surface,BoundingBoxOO Length,1,2752,
2.00567,5.59375,8.35742,um,Surface,BoundingBoxOO Length,1,2753,
2.00375,3.78516,9.85742,um,Surface,BoundingBoxOO Length,1,2754,
2.00395,6.4707,10.4922,um,Surface,BoundingBoxOO Length,1,2755,
2.00257,5.74219,13.5117,um,Surface,BoundingBoxOO Length,1,2756,
2.00031,11.9023,19.2344,um,Surface,BoundingBoxOO Length,1,2757,
2.00476,4.77344,8.14063,um,Surface,BoundingBoxOO Length,1,2758,
2.0107,3.73047,4.75391,um,Surface,BoundingBoxOO Length,1,2759,
2.00428,8.70703,11.2266,um,Surface,BoundingBoxOO Length,1,2760,
2.00177,19.1797,24.7539,um,Surface,BoundingBoxOO Length,1,2761,
2.00639,4.75977,8.91797,um,Surface,BoundingBoxOO Length,1,2762,
2.0008,6.33203,9.20703,um,Surface,BoundingBoxOO Length,1,2763,
2.00523,6.06641,9.31641,um,Surface,BoundingBoxOO Length,1,2764,
2.01245,3.78906,6.14648,um,Surface,BoundingBoxOO Length,1,2765,
2.00021,8.38867,18.6289,um,Surface,BoundingBoxOO Length,1,2766,
2.01776,3.29297,5.86914,um,Surface,BoundingBoxOO Length,1,2767,
2.00018,14.5879,17.2422,um,Surface,BoundingBoxOO Length,1,2768,
2.0033,9.31641,11.75,um,Surface,BoundingBoxOO Length,1,2769,
2.00573,4.18555,6.20313,um,Surface,BoundingBoxOO Length,1,2770,
