
Intensity Max Ch=5 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
143,,Surface,5,Image 1,1,2893,
149,,Surface,5,Image 1,1,2894,
177,,Surface,5,Image 1,1,2895,
154,,Surface,5,Image 1,1,2896,
152,,Surface,5,Image 1,1,2897,
139,,Surface,5,Image 1,1,2898,
163,,Surface,5,Image 1,1,2899,
170,,Surface,5,Image 1,1,2900,
153,,Surface,5,Image 1,1,2901,
153,,Surface,5,Image 1,1,2902,
146,,Surface,5,Image 1,1,2903,
158,,Surface,5,Image 1,1,2904,
157,,Surface,5,Image 1,1,2905,
170,,Surface,5,Image 1,1,2906,
169,,Surface,5,Image 1,1,2907,
156,,Surface,5,Image 1,1,2908,
164,,Surface,5,Image 1,1,2909,
150,,Surface,5,Image 1,1,2910,
146,,Surface,5,Image 1,1,2911,
151,,Surface,5,Image 1,1,2912,
157,,Surface,5,Image 1,1,2913,
172,,Surface,5,Image 1,1,2914,
147,,Surface,5,Image 1,1,2915,
156,,Surface,5,Image 1,1,2916,
157,,Surface,5,Image 1,1,2917,
156,,Surface,5,Image 1,1,2918,
133,,Surface,5,Image 1,1,2919,
158,,Surface,5,Image 1,1,2920,
162,,Surface,5,Image 1,1,2921,
154,,Surface,5,Image 1,1,2922,
152,,Surface,5,Image 1,1,2923,
189,,Surface,5,Image 1,1,2924,
181,,Surface,5,Image 1,1,2925,
146,,Surface,5,Image 1,1,2926,
162,,Surface,5,Image 1,1,2927,
158,,Surface,5,Image 1,1,2928,
153,,Surface,5,Image 1,1,2929,
149,,Surface,5,Image 1,1,2930,
171,,Surface,5,Image 1,1,2931,
175,,Surface,5,Image 1,1,2932,
173,,Surface,5,Image 1,1,2933,
151,,Surface,5,Image 1,1,2934,
148,,Surface,5,Image 1,1,2935,
153,,Surface,5,Image 1,1,2936,
146,,Surface,5,Image 1,1,2937,
150,,Surface,5,Image 1,1,2938,
158,,Surface,5,Image 1,1,2939,
161,,Surface,5,Image 1,1,2940,
148,,Surface,5,Image 1,1,2941,
145,,Surface,5,Image 1,1,2942,
177,,Surface,5,Image 1,1,2943,
164,,Surface,5,Image 1,1,2944,
147,,Surface,5,Image 1,1,2945,
152,,Surface,5,Image 1,1,2946,
181,,Surface,5,Image 1,1,2947,
139,,Surface,5,Image 1,1,2948,
147,,Surface,5,Image 1,1,2949,
147,,Surface,5,Image 1,1,2950,
148,,Surface,5,Image 1,1,2951,
174,,Surface,5,Image 1,1,2952,
142,,Surface,5,Image 1,1,2953,
171,,Surface,5,Image 1,1,2954,
180,,Surface,5,Image 1,1,2955,
169,,Surface,5,Image 1,1,2956,
175,,Surface,5,Image 1,1,2957,
178,,Surface,5,Image 1,1,2958,
174,,Surface,5,Image 1,1,2959,
181,,Surface,5,Image 1,1,2960,
149,,Surface,5,Image 1,1,2961,
166,,Surface,5,Image 1,1,2962,
171,,Surface,5,Image 1,1,2963,
139,,Surface,5,Image 1,1,2964,
210,,Surface,5,Image 1,1,2965,
152,,Surface,5,Image 1,1,2966,
143,,Surface,5,Image 1,1,2967,
152,,Surface,5,Image 1,1,2968,
149,,Surface,5,Image 1,1,2969,
180,,Surface,5,Image 1,1,2970,
156,,Surface,5,Image 1,1,2971,
152,,Surface,5,Image 1,1,2972,
160,,Surface,5,Image 1,1,2973,
161,,Surface,5,Image 1,1,2974,
143,,Surface,5,Image 1,1,2975,
164,,Surface,5,Image 1,1,2976,
172,,Surface,5,Image 1,1,2977,
152,,Surface,5,Image 1,1,2978,
172,,Surface,5,Image 1,1,2979,
171,,Surface,5,Image 1,1,2980,
161,,Surface,5,Image 1,1,2981,
144,,Surface,5,Image 1,1,2982,
181,,Surface,5,Image 1,1,2983,
205,,Surface,5,Image 1,1,2984,
174,,Surface,5,Image 1,1,2985,
160,,Surface,5,Image 1,1,2986,
190,,Surface,5,Image 1,1,2987,
146,,Surface,5,Image 1,1,2988,
198,,Surface,5,Image 1,1,2989,
162,,Surface,5,Image 1,1,2990,
169,,Surface,5,Image 1,1,2991,
183,,Surface,5,Image 1,1,2992,
182,,Surface,5,Image 1,1,2993,
160,,Surface,5,Image 1,1,2994,
181,,Surface,5,Image 1,1,2995,
181,,Surface,5,Image 1,1,2996,
158,,Surface,5,Image 1,1,2997,
151,,Surface,5,Image 1,1,2998,
141,,Surface,5,Image 1,1,2999,
199,,Surface,5,Image 1,1,3000,
179,,Surface,5,Image 1,1,3001,
178,,Surface,5,Image 1,1,3002,
187,,Surface,5,Image 1,1,3003,
139,,Surface,5,Image 1,1,3004,
177,,Surface,5,Image 1,1,3005,
168,,Surface,5,Image 1,1,3006,
186,,Surface,5,Image 1,1,3007,
169,,Surface,5,Image 1,1,3008,
188,,Surface,5,Image 1,1,3009,
195,,Surface,5,Image 1,1,3010,
151,,Surface,5,Image 1,1,3011,
156,,Surface,5,Image 1,1,3012,
185,,Surface,5,Image 1,1,3013,
181,,Surface,5,Image 1,1,3014,
163,,Surface,5,Image 1,1,3015,
180,,Surface,5,Image 1,1,3016,
160,,Surface,5,Image 1,1,3017,
153,,Surface,5,Image 1,1,3018,
190,,Surface,5,Image 1,1,3019,
170,,Surface,5,Image 1,1,3020,
157,,Surface,5,Image 1,1,3021,
172,,Surface,5,Image 1,1,3022,
169,,Surface,5,Image 1,1,3023,
151,,Surface,5,Image 1,1,3024,
152,,Surface,5,Image 1,1,3025,
200,,Surface,5,Image 1,1,3026,
192,,Surface,5,Image 1,1,3027,
209,,Surface,5,Image 1,1,3028,
148,,Surface,5,Image 1,1,3029,
150,,Surface,5,Image 1,1,3030,
189,,Surface,5,Image 1,1,3031,
169,,Surface,5,Image 1,1,3032,
173,,Surface,5,Image 1,1,3033,
148,,Surface,5,Image 1,1,3034,
163,,Surface,5,Image 1,1,3035,
163,,Surface,5,Image 1,1,3036,
202,,Surface,5,Image 1,1,3037,
165,,Surface,5,Image 1,1,3038,
179,,Surface,5,Image 1,1,3039,
194,,Surface,5,Image 1,1,3040,
163,,Surface,5,Image 1,1,3041,
201,,Surface,5,Image 1,1,3042,
180,,Surface,5,Image 1,1,3043,
147,,Surface,5,Image 1,1,3044,
142,,Surface,5,Image 1,1,3045,
178,,Surface,5,Image 1,1,3046,
171,,Surface,5,Image 1,1,3047,
168,,Surface,5,Image 1,1,3048,
184,,Surface,5,Image 1,1,3049,
164,,Surface,5,Image 1,1,3050,
163,,Surface,5,Image 1,1,3051,
190,,Surface,5,Image 1,1,3052,
198,,Surface,5,Image 1,1,3053,
159,,Surface,5,Image 1,1,3054,
202,,Surface,5,Image 1,1,3055,
170,,Surface,5,Image 1,1,3056,
188,,Surface,5,Image 1,1,3057,
189,,Surface,5,Image 1,1,3058,
203,,Surface,5,Image 1,1,3059,
143,,Surface,5,Image 1,1,3060,
173,,Surface,5,Image 1,1,3061,
188,,Surface,5,Image 1,1,3062,
159,,Surface,5,Image 1,1,3063,
156,,Surface,5,Image 1,1,3064,
176,,Surface,5,Image 1,1,3065,
195,,Surface,5,Image 1,1,3066,
172,,Surface,5,Image 1,1,3067,
152,,Surface,5,Image 1,1,3068,
159,,Surface,5,Image 1,1,3069,
164,,Surface,5,Image 1,1,3070,
170,,Surface,5,Image 1,1,3071,
164,,Surface,5,Image 1,1,3072,
182,,Surface,5,Image 1,1,3073,
190,,Surface,5,Image 1,1,3074,
215,,Surface,5,Image 1,1,3075,
