
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
28,,Surface,2,Image 1,1,3081,
33,,Surface,2,Image 1,1,3082,
11,,Surface,2,Image 1,1,3083,
58,,Surface,2,Image 1,1,3084,
66,,Surface,2,Image 1,1,3085,
55,,Surface,2,Image 1,1,3086,
20,,Surface,2,Image 1,1,3087,
26,,Surface,2,Image 1,1,3088,
27,,Surface,2,Image 1,1,3089,
18,,Surface,2,Image 1,1,3090,
14,,Surface,2,Image 1,1,3091,
36,,Surface,2,Image 1,1,3092,
50,,Surface,2,Image 1,1,3093,
18,,Surface,2,Image 1,1,3094,
32,,Surface,2,Image 1,1,3095,
28,,Surface,2,Image 1,1,3096,
19,,Surface,2,Image 1,1,3097,
35,,Surface,2,Image 1,1,3098,
29,,Surface,2,Image 1,1,3099,
28,,Surface,2,Image 1,1,3100,
54,,Surface,2,Image 1,1,3101,
21,,Surface,2,Image 1,1,3102,
21,,Surface,2,Image 1,1,3103,
10,,Surface,2,Image 1,1,3104,
30,,Surface,2,Image 1,1,3105,
30,,Surface,2,Image 1,1,3106,
32,,Surface,2,Image 1,1,3107,
