
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
65.467,,Surface,6,Image 1,1,2757,
72.6346,,Surface,6,Image 1,1,2758,
73.7059,,Surface,6,Image 1,1,2759,
74.5718,,Surface,6,Image 1,1,2760,
101.678,,Surface,6,Image 1,1,2761,
61,,Surface,6,Image 1,1,2762,
86.8868,,Surface,6,Image 1,1,2763,
63.4028,,Surface,6,Image 1,1,2764,
70.5217,,Surface,6,Image 1,1,2765,
87.2908,,Surface,6,Image 1,1,2766,
63.0658,,Surface,6,Image 1,1,2767,
91.135,,Surface,6,Image 1,1,2768,
69.6605,,Surface,6,Image 1,1,2769,
65.9167,,Surface,6,Image 1,1,2770,
90.5789,,Surface,6,Image 1,1,2771,
85.043,,Surface,6,Image 1,1,2772,
90.2288,,Surface,6,Image 1,1,2773,
75.3532,,Surface,6,Image 1,1,2774,
88.8731,,Surface,6,Image 1,1,2775,
83.6678,,Surface,6,Image 1,1,2776,
81.6333,,Surface,6,Image 1,1,2777,
76.5793,,Surface,6,Image 1,1,2778,
73.087,,Surface,6,Image 1,1,2779,
73.9297,,Surface,6,Image 1,1,2780,
72.695,,Surface,6,Image 1,1,2781,
75.0616,,Surface,6,Image 1,1,2782,
62.1422,,Surface,6,Image 1,1,2783,
81.2535,,Surface,6,Image 1,1,2784,
85.6563,,Surface,6,Image 1,1,2785,
61.2037,,Surface,6,Image 1,1,2786,
73.2008,,Surface,6,Image 1,1,2787,
62.1875,,Surface,6,Image 1,1,2788,
65.3281,,Surface,6,Image 1,1,2789,
72.0068,,Surface,6,Image 1,1,2790,
99.7917,,Surface,6,Image 1,1,2791,
69.2598,,Surface,6,Image 1,1,2792,
67.1951,,Surface,6,Image 1,1,2793,
65.3592,,Surface,6,Image 1,1,2794,
68.07,,Surface,6,Image 1,1,2795,
71.5072,,Surface,6,Image 1,1,2796,
71.5489,,Surface,6,Image 1,1,2797,
80.9363,,Surface,6,Image 1,1,2798,
57.5202,,Surface,6,Image 1,1,2799,
75.5156,,Surface,6,Image 1,1,2800,
87.1417,,Surface,6,Image 1,1,2801,
80.6848,,Surface,6,Image 1,1,2802,
65.7162,,Surface,6,Image 1,1,2803,
71.8714,,Surface,6,Image 1,1,2804,
87.2177,,Surface,6,Image 1,1,2805,
