
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,ID,
0.559017,um,Surface,1,3187,
0.559017,um,Surface,1,3188,
0.559017,um,Surface,1,3189,
0.559017,um,Surface,1,3190,
0.559017,um,Surface,1,3191,
0.559017,um,Surface,1,3192,
0.559017,um,Surface,1,3193,
0.559017,um,Surface,1,3194,
0.559017,um,Surface,1,3195,
0.559017,um,Surface,1,3196,
0.559017,um,Surface,1,3197,
0.559017,um,Surface,1,3198,
0.559017,um,Surface,1,3199,
0.559017,um,Surface,1,3200,
0.559017,um,Surface,1,3201,
0.559017,um,Surface,1,3202,
0.559017,um,Surface,1,3203,
0.559017,um,Surface,1,3204,
0.559017,um,Surface,1,3205,
0.559017,um,Surface,1,3206,
0.559017,um,Surface,1,3207,
0.559017,um,Surface,1,3208,
0.559017,um,Surface,1,3209,
0.559017,um,Surface,1,3210,
0.559017,um,Surface,1,3211,
0.559017,um,Surface,1,3212,
0.559017,um,Surface,1,3213,
0.559017,um,Surface,1,3214,
0.559017,um,Surface,1,3215,
0.559017,um,Surface,1,3216,
0.559017,um,Surface,1,3217,
0.559017,um,Surface,1,3218,
0.559017,um,Surface,1,3219,
0.559017,um,Surface,1,3220,
0.559017,um,Surface,1,3221,
0.559017,um,Surface,1,3222,
0.559017,um,Surface,1,3223,
0.559017,um,Surface,1,3224,
0.559017,um,Surface,1,3225,
