
Distance to Image Border XYZ Img=1
 ==================== 
Distance to Image Border XYZ,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,2776,
0,um,Surface,Image 1,1,2777,
0,um,Surface,Image 1,1,2778,
0,um,Surface,Image 1,1,2779,
0,um,Surface,Image 1,1,2780,
0,um,Surface,Image 1,1,2781,
0,um,Surface,Image 1,1,2782,
0,um,Surface,Image 1,1,2783,
0,um,Surface,Image 1,1,2784,
0,um,Surface,Image 1,1,2785,
0,um,Surface,Image 1,1,2786,
0,um,Surface,Image 1,1,2787,
0,um,Surface,Image 1,1,2788,
0,um,Surface,Image 1,1,2789,
0,um,Surface,Image 1,1,2790,
0,um,Surface,Image 1,1,2791,
0,um,Surface,Image 1,1,2792,
0,um,Surface,Image 1,1,2793,
0,um,Surface,Image 1,1,2794,
0,um,Surface,Image 1,1,2795,
0,um,Surface,Image 1,1,2796,
0,um,Surface,Image 1,1,2797,
0,um,Surface,Image 1,1,2798,
0,um,Surface,Image 1,1,2799,
0,um,Surface,Image 1,1,2800,
0,um,Surface,Image 1,1,2801,
0,um,Surface,Image 1,1,2802,
0,um,Surface,Image 1,1,2803,
0,um,Surface,Image 1,1,2804,
0,um,Surface,Image 1,1,2805,
0,um,Surface,Image 1,1,2806,
0,um,Surface,Image 1,1,2807,
0,um,Surface,Image 1,1,2808,
0,um,Surface,Image 1,1,2809,
0,um,Surface,Image 1,1,2810,
0,um,Surface,Image 1,1,2811,
0,um,Surface,Image 1,1,2812,
0,um,Surface,Image 1,1,2813,
0,um,Surface,Image 1,1,2814,
0,um,Surface,Image 1,1,2815,
0,um,Surface,Image 1,1,2816,
0,um,Surface,Image 1,1,2817,
0,um,Surface,Image 1,1,2818,
0,um,Surface,Image 1,1,2819,
0,um,Surface,Image 1,1,2820,
0,um,Surface,Image 1,1,2821,
0,um,Surface,Image 1,1,2822,
0,um,Surface,Image 1,1,2823,
0,um,Surface,Image 1,1,2824,
0,um,Surface,Image 1,1,2825,
0,um,Surface,Image 1,1,2826,
0,um,Surface,Image 1,1,2827,
0,um,Surface,Image 1,1,2828,
0,um,Surface,Image 1,1,2829,
0,um,Surface,Image 1,1,2830,
0,um,Surface,Image 1,1,2831,
0,um,Surface,Image 1,1,2832,
0,um,Surface,Image 1,1,2833,
0,um,Surface,Image 1,1,2834,
0,um,Surface,Image 1,1,2835,
0,um,Surface,Image 1,1,2836,
0,um,Surface,Image 1,1,2837,
0,um,Surface,Image 1,1,2838,
0,um,Surface,Image 1,1,2839,
0,um,Surface,Image 1,1,2840,
0,um,Surface,Image 1,1,2841,
0,um,Surface,Image 1,1,2842,
0,um,Surface,Image 1,1,2843,
0,um,Surface,Image 1,1,2844,
0,um,Surface,Image 1,1,2845,
0,um,Surface,Image 1,1,2846,
0,um,Surface,Image 1,1,2847,
0,um,Surface,Image 1,1,2848,
0,um,Surface,Image 1,1,2849,
0,um,Surface,Image 1,1,2850,
0,um,Surface,Image 1,1,2851,
0,um,Surface,Image 1,1,2852,
0,um,Surface,Image 1,1,2853,
0,um,Surface,Image 1,1,2854,
0,um,Surface,Image 1,1,2855,
0,um,Surface,Image 1,1,2856,
0,um,Surface,Image 1,1,2857,
0,um,Surface,Image 1,1,2858,
0,um,Surface,Image 1,1,2859,
0,um,Surface,Image 1,1,2860,
0,um,Surface,Image 1,1,2861,
0,um,Surface,Image 1,1,2862,
0,um,Surface,Image 1,1,2863,
0,um,Surface,Image 1,1,2864,
0,um,Surface,Image 1,1,2865,
0,um,Surface,Image 1,1,2866,
0,um,Surface,Image 1,1,2867,
0,um,Surface,Image 1,1,2868,
0,um,Surface,Image 1,1,2869,
0,um,Surface,Image 1,1,2870,
0,um,Surface,Image 1,1,2871,
0,um,Surface,Image 1,1,2872,
0,um,Surface,Image 1,1,2873,
0,um,Surface,Image 1,1,2874,
0,um,Surface,Image 1,1,2875,
0,um,Surface,Image 1,1,2876,
0,um,Surface,Image 1,1,2877,
0,um,Surface,Image 1,1,2878,
0,um,Surface,Image 1,1,2879,
0,um,Surface,Image 1,1,2880,
0,um,Surface,Image 1,1,2881,
0,um,Surface,Image 1,1,2882,
0,um,Surface,Image 1,1,2883,
0,um,Surface,Image 1,1,2884,
0,um,Surface,Image 1,1,2885,
0,um,Surface,Image 1,1,2886,
0,um,Surface,Image 1,1,2887,
