
Area
 ==================== 
Area,Unit,Category,Time,ID,
240.552,um^2,Surface,1,3090,
76.5915,um^2,Surface,1,3091,
88.6722,um^2,Surface,1,3092,
37.264,um^2,Surface,1,3093,
221.519,um^2,Surface,1,3094,
396.045,um^2,Surface,1,3095,
157.408,um^2,Surface,1,3096,
168.497,um^2,Surface,1,3097,
68.6591,um^2,Surface,1,3098,
287.456,um^2,Surface,1,3099,
300.156,um^2,Surface,1,3100,
127.024,um^2,Surface,1,3101,
194.777,um^2,Surface,1,3102,
56.2508,um^2,Surface,1,3103,
736.934,um^2,Surface,1,3104,
237.399,um^2,Surface,1,3105,
404.8,um^2,Surface,1,3106,
125.497,um^2,Surface,1,3107,
286.064,um^2,Surface,1,3108,
281.059,um^2,Surface,1,3109,
129.445,um^2,Surface,1,3110,
107.817,um^2,Surface,1,3111,
139.942,um^2,Surface,1,3112,
565.192,um^2,Surface,1,3113,
100.881,um^2,Surface,1,3114,
177.74,um^2,Surface,1,3115,
303.708,um^2,Surface,1,3116,
53.7183,um^2,Surface,1,3117,
191.079,um^2,Surface,1,3118,
65.1029,um^2,Surface,1,3119,
317.217,um^2,Surface,1,3120,
84.0171,um^2,Surface,1,3121,
266.877,um^2,Surface,1,3122,
90.5266,um^2,Surface,1,3123,
200.457,um^2,Surface,1,3124,
92.3188,um^2,Surface,1,3125,
137.467,um^2,Surface,1,3126,
102.505,um^2,Surface,1,3127,
265.484,um^2,Surface,1,3128,
215.774,um^2,Surface,1,3129,
160.773,um^2,Surface,1,3130,
110.955,um^2,Surface,1,3131,
182.032,um^2,Surface,1,3132,
118.284,um^2,Surface,1,3133,
32.8459,um^2,Surface,1,3134,
243.056,um^2,Surface,1,3135,
458.093,um^2,Surface,1,3136,
131.203,um^2,Surface,1,3137,
183.091,um^2,Surface,1,3138,
211.519,um^2,Surface,1,3139,
82.3697,um^2,Surface,1,3140,
93.0185,um^2,Surface,1,3141,
169.04,um^2,Surface,1,3142,
652.526,um^2,Surface,1,3143,
88.4502,um^2,Surface,1,3144,
1579.05,um^2,Surface,1,3145,
182.806,um^2,Surface,1,3146,
115.044,um^2,Surface,1,3147,
1959.1,um^2,Surface,1,3148,
75.5443,um^2,Surface,1,3149,
99.5128,um^2,Surface,1,3150,
142.777,um^2,Surface,1,3151,
329.399,um^2,Surface,1,3152,
39.6131,um^2,Surface,1,3153,
205.269,um^2,Surface,1,3154,
164.915,um^2,Surface,1,3155,
131.012,um^2,Surface,1,3156,
9204.5,um^2,Surface,1,3157,
52.3012,um^2,Surface,1,3158,
229.785,um^2,Surface,1,3159,
235.341,um^2,Surface,1,3160,
71.4447,um^2,Surface,1,3161,
392.632,um^2,Surface,1,3162,
525.527,um^2,Surface,1,3163,
695.558,um^2,Surface,1,3164,
520.86,um^2,Surface,1,3165,
147.737,um^2,Surface,1,3166,
987.463,um^2,Surface,1,3167,
182.059,um^2,Surface,1,3168,
423.445,um^2,Surface,1,3169,
166.649,um^2,Surface,1,3170,
82.2528,um^2,Surface,1,3171,
128.379,um^2,Surface,1,3172,
