
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,ID,
0.992803,0.11976,7.57614e-13,um,Surface,Ellipsoid Axis C,1,2669,
0.576859,0.816844,1.8413e-12,um,Surface,Ellipsoid Axis C,1,2670,
0.814998,0.579463,9.60739e-13,um,Surface,Ellipsoid Axis C,1,2671,
0.986467,0.163961,-2.89077e-12,um,Surface,Ellipsoid Axis C,1,2672,
-0.878248,-0.478206,-2.30641e-12,um,Surface,Ellipsoid Axis C,1,2673,
0.998203,-0.0599299,2.04062e-12,um,Surface,Ellipsoid Axis C,1,2674,
-0.0832841,-0.996526,-5.25621e-13,um,Surface,Ellipsoid Axis C,1,2675,
0.0680146,0.997684,1.79699e-13,um,Surface,Ellipsoid Axis C,1,2676,
0.707107,-0.707107,0,um,Surface,Ellipsoid Axis C,1,2677,
0.127245,-0.991871,8.67867e-13,um,Surface,Ellipsoid Axis C,1,2678,
0.911713,0.410827,-1.33524e-12,um,Surface,Ellipsoid Axis C,1,2679,
-0.901518,-0.432742,7.86196e-12,um,Surface,Ellipsoid Axis C,1,2680,
-0.956218,-0.292655,1.83163e-14,um,Surface,Ellipsoid Axis C,1,2681,
0.732526,0.680739,9.32814e-13,um,Surface,Ellipsoid Axis C,1,2682,
0.0760039,-0.997108,4.62936e-12,um,Surface,Ellipsoid Axis C,1,2683,
0.989755,-0.142776,-7.77048e-13,um,Surface,Ellipsoid Axis C,1,2684,
-0.9858,0.167922,-1.95692e-12,um,Surface,Ellipsoid Axis C,1,2685,
0.909398,-0.415926,-5.04364e-13,um,Surface,Ellipsoid Axis C,1,2686,
0.534937,0.844892,-1.04472e-12,um,Surface,Ellipsoid Axis C,1,2687,
0.912054,-0.41007,-1.03333e-12,um,Surface,Ellipsoid Axis C,1,2688,
0.508726,0.860929,-6.61898e-12,um,Surface,Ellipsoid Axis C,1,2689,
-0.871396,-0.49058,3.17937e-12,um,Surface,Ellipsoid Axis C,1,2690,
0.999435,-0.033597,-3.30002e-12,um,Surface,Ellipsoid Axis C,1,2691,
2.49072e-06,1,3.21886e-12,um,Surface,Ellipsoid Axis C,1,2692,
-0.456464,-0.889742,1.17231e-12,um,Surface,Ellipsoid Axis C,1,2693,
0.857492,-0.514498,-1.51539e-11,um,Surface,Ellipsoid Axis C,1,2694,
0.511073,0.859537,1.36798e-12,um,Surface,Ellipsoid Axis C,1,2695,
0.999846,-0.0175597,6.76845e-15,um,Surface,Ellipsoid Axis C,1,2696,
0.851569,0.524243,4.44111e-13,um,Surface,Ellipsoid Axis C,1,2697,
0.996473,-0.0839179,-2.65576e-12,um,Surface,Ellipsoid Axis C,1,2698,
-0.984878,-0.173251,3.25992e-12,um,Surface,Ellipsoid Axis C,1,2699,
2.60663e-07,-1,4.27977e-12,um,Surface,Ellipsoid Axis C,1,2700,
0.995918,-0.0902578,0,um,Surface,Ellipsoid Axis C,1,2701,
0.886986,0.461796,1.28837e-12,um,Surface,Ellipsoid Axis C,1,2702,
0.707106,-0.707108,1.02753e-11,um,Surface,Ellipsoid Axis C,1,2703,
0.469314,-0.883031,2.36782e-12,um,Surface,Ellipsoid Axis C,1,2704,
-0.235036,0.971987,3.60433e-13,um,Surface,Ellipsoid Axis C,1,2705,
-0.992759,-0.120123,-3.68302e-12,um,Surface,Ellipsoid Axis C,1,2706,
-0.826053,-0.563593,3.73337e-12,um,Surface,Ellipsoid Axis C,1,2707,
-0.872151,0.489237,-1.2971e-12,um,Surface,Ellipsoid Axis C,1,2708,
0.998069,0.0621122,-7.12997e-12,um,Surface,Ellipsoid Axis C,1,2709,
0.337968,0.941157,-1.94225e-12,um,Surface,Ellipsoid Axis C,1,2710,
-0.703776,-0.710422,7.2201e-12,um,Surface,Ellipsoid Axis C,1,2711,
-6.82389e-06,-1,-2.19428e-11,um,Surface,Ellipsoid Axis C,1,2712,
0.969061,0.246821,1.769e-12,um,Surface,Ellipsoid Axis C,1,2713,
0,1,0,um,Surface,Ellipsoid Axis C,1,2714,
-0.911551,0.411187,-3.13374e-12,um,Surface,Ellipsoid Axis C,1,2715,
0.856435,-0.516255,1.97378e-12,um,Surface,Ellipsoid Axis C,1,2716,
0.999961,0.00877302,5.21459e-12,um,Surface,Ellipsoid Axis C,1,2717,
0.983923,-0.178596,-1.09941e-12,um,Surface,Ellipsoid Axis C,1,2718,
0.949777,-0.312929,-1.28957e-11,um,Surface,Ellipsoid Axis C,1,2719,
0.985212,0.171338,7.25021e-13,um,Surface,Ellipsoid Axis C,1,2720,
0.590279,-0.807199,2.92208e-13,um,Surface,Ellipsoid Axis C,1,2721,
-0.407774,0.913083,-1.09546e-12,um,Surface,Ellipsoid Axis C,1,2722,
0.763545,-0.645755,4.309e-12,um,Surface,Ellipsoid Axis C,1,2723,
-0.155977,0.987761,3.02663e-13,um,Surface,Ellipsoid Axis C,1,2724,
0.706966,0.707248,0,um,Surface,Ellipsoid Axis C,1,2725,
0.680047,-0.733168,6.32331e-13,um,Surface,Ellipsoid Axis C,1,2726,
-0.026154,-0.999658,2.86226e-12,um,Surface,Ellipsoid Axis C,1,2727,
-0.0351497,-0.999382,1.38335e-12,um,Surface,Ellipsoid Axis C,1,2728,
0.10636,0.994328,-4.46171e-13,um,Surface,Ellipsoid Axis C,1,2729,
0.905377,-0.424609,-1.24108e-14,um,Surface,Ellipsoid Axis C,1,2730,
0.250527,-0.96811,-4.20887e-13,um,Surface,Ellipsoid Axis C,1,2731,
0.00339173,0.999994,1.14625e-12,um,Surface,Ellipsoid Axis C,1,2732,
0.494128,-0.869389,-1.67301e-12,um,Surface,Ellipsoid Axis C,1,2733,
0.893637,-0.44879,-2.18773e-13,um,Surface,Ellipsoid Axis C,1,2734,
-0.790534,-0.612418,-7.48431e-13,um,Surface,Ellipsoid Axis C,1,2735,
0.0888706,0.996043,-1.41855e-13,um,Surface,Ellipsoid Axis C,1,2736,
-0.0427034,-0.999088,-1.0329e-12,um,Surface,Ellipsoid Axis C,1,2737,
-0.128497,-0.99171,4.4752e-12,um,Surface,Ellipsoid Axis C,1,2738,
