
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,ID,
-0.0621122,0.998069,6.42565e-13,um,Surface,Ellipsoid Axis B,1,2709,
0.941157,-0.337968,8.9535e-12,um,Surface,Ellipsoid Axis B,1,2710,
0.710422,-0.703776,4.37998e-12,um,Surface,Ellipsoid Axis B,1,2711,
1,-6.82389e-06,1.37448e-11,um,Surface,Ellipsoid Axis B,1,2712,
-0.246821,0.969061,-4.79297e-12,um,Surface,Ellipsoid Axis B,1,2713,
0,0,1,um,Surface,Ellipsoid Axis B,1,2714,
-0.411187,-0.911551,-2.36481e-12,um,Surface,Ellipsoid Axis B,1,2715,
0.516255,0.856435,-3.97228e-12,um,Surface,Ellipsoid Axis B,1,2716,
0.00877302,-0.999961,1.27353e-11,um,Surface,Ellipsoid Axis B,1,2717,
0.178596,0.983923,-6.98283e-13,um,Surface,Ellipsoid Axis B,1,2718,
0.312929,0.949777,3.62653e-12,um,Surface,Ellipsoid Axis B,1,2719,
0.171338,-0.985212,1.58688e-11,um,Surface,Ellipsoid Axis B,1,2720,
-0.807199,-0.590279,4.51687e-12,um,Surface,Ellipsoid Axis B,1,2721,
0.913083,0.407774,-5.83601e-12,um,Surface,Ellipsoid Axis B,1,2722,
0.645755,0.763545,1.34767e-11,um,Surface,Ellipsoid Axis B,1,2723,
0.987761,0.155977,-7.54265e-12,um,Surface,Ellipsoid Axis B,1,2724,
0.707248,-0.706966,0,um,Surface,Ellipsoid Axis B,1,2725,
-0.733168,-0.680047,-3.52696e-12,um,Surface,Ellipsoid Axis B,1,2726,
-0.999658,0.026154,1.77577e-11,um,Surface,Ellipsoid Axis B,1,2727,
0.999382,-0.0351497,-3.54579e-12,um,Surface,Ellipsoid Axis B,1,2728,
0.994328,-0.10636,2.1766e-12,um,Surface,Ellipsoid Axis B,1,2729,
-0.424609,-0.905377,2.41703e-12,um,Surface,Ellipsoid Axis B,1,2730,
-0.96811,-0.250527,-1.4504e-11,um,Surface,Ellipsoid Axis B,1,2731,
0.999994,-0.00339173,-3.08551e-12,um,Surface,Ellipsoid Axis B,1,2732,
0.869389,0.494128,-7.93015e-12,um,Surface,Ellipsoid Axis B,1,2733,
0.44879,0.893637,-8.60946e-13,um,Surface,Ellipsoid Axis B,1,2734,
0.612418,-0.790534,3.07726e-12,um,Surface,Ellipsoid Axis B,1,2735,
0.996043,-0.0888706,1.25273e-11,um,Surface,Ellipsoid Axis B,1,2736,
-0.999088,0.0427034,-3.72617e-12,um,Surface,Ellipsoid Axis B,1,2737,
