
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.745277,,Surface,1,2930,
0.626451,,Surface,1,2931,
0.639753,,Surface,1,2932,
0.543609,,Surface,1,2933,
0.799928,,Surface,1,2934,
0.763008,,Surface,1,2935,
0.825415,,Surface,1,2936,
0.86105,,Surface,1,2937,
0.605623,,Surface,1,2938,
0.837429,,Surface,1,2939,
0.566553,,Surface,1,2940,
0.802395,,Surface,1,2941,
0.771802,,Surface,1,2942,
0.631082,,Surface,1,2943,
0.679212,,Surface,1,2944,
0.856862,,Surface,1,2945,
0.736497,,Surface,1,2946,
0.709098,,Surface,1,2947,
0.846272,,Surface,1,2948,
0.758733,,Surface,1,2949,
0.819552,,Surface,1,2950,
0.78938,,Surface,1,2951,
0.701907,,Surface,1,2952,
0.822961,,Surface,1,2953,
0.544868,,Surface,1,2954,
0.457506,,Surface,1,2955,
0.77856,,Surface,1,2956,
0.825114,,Surface,1,2957,
0.616137,,Surface,1,2958,
0.500044,,Surface,1,2959,
0.727968,,Surface,1,2960,
0.736564,,Surface,1,2961,
0.694575,,Surface,1,2962,
0.513142,,Surface,1,2963,
0.806942,,Surface,1,2964,
0.397482,,Surface,1,2965,
0.721966,,Surface,1,2966,
0.761862,,Surface,1,2967,
0.793336,,Surface,1,2968,
0.844059,,Surface,1,2969,
0.48435,,Surface,1,2970,
0.777182,,Surface,1,2971,
0.714558,,Surface,1,2972,
0.664389,,Surface,1,2973,
0.621827,,Surface,1,2974,
0.732332,,Surface,1,2975,
0.626893,,Surface,1,2976,
0.644845,,Surface,1,2977,
0.793267,,Surface,1,2978,
0.83555,,Surface,1,2979,
0.489173,,Surface,1,2980,
0.823841,,Surface,1,2981,
0.795252,,Surface,1,2982,
0.422142,,Surface,1,2983,
0.414475,,Surface,1,2984,
0.64923,,Surface,1,2985,
0.613446,,Surface,1,2986,
0.622309,,Surface,1,2987,
0.735816,,Surface,1,2988,
0.575612,,Surface,1,2989,
0.663954,,Surface,1,2990,
0.650657,,Surface,1,2991,
0.409942,,Surface,1,2992,
0.605947,,Surface,1,2993,
0.798855,,Surface,1,2994,
0.578508,,Surface,1,2995,
0.519066,,Surface,1,2996,
0.800784,,Surface,1,2997,
0.714839,,Surface,1,2998,
0.779379,,Surface,1,2999,
0.481574,,Surface,1,3000,
0.474149,,Surface,1,3001,
0.712191,,Surface,1,3002,
0.421298,,Surface,1,3003,
0.798347,,Surface,1,3004,
0.46039,,Surface,1,3005,
0.677941,,Surface,1,3006,
0.302244,,Surface,1,3007,
0.588663,,Surface,1,3008,
0.369508,,Surface,1,3009,
0.423161,,Surface,1,3010,
0.804379,,Surface,1,3011,
0.628692,,Surface,1,3012,
0.579357,,Surface,1,3013,
