
Intensity Center Ch=5 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
140,,Surface,5,Image 1,1,3025,
141,,Surface,5,Image 1,1,3026,
159,,Surface,5,Image 1,1,3027,
81,,Surface,5,Image 1,1,3028,
114,,Surface,5,Image 1,1,3029,
118,,Surface,5,Image 1,1,3030,
146,,Surface,5,Image 1,1,3031,
144,,Surface,5,Image 1,1,3032,
133,,Surface,5,Image 1,1,3033,
105,,Surface,5,Image 1,1,3034,
115,,Surface,5,Image 1,1,3035,
128,,Surface,5,Image 1,1,3036,
154,,Surface,5,Image 1,1,3037,
111,,Surface,5,Image 1,1,3038,
103,,Surface,5,Image 1,1,3039,
166,,Surface,5,Image 1,1,3040,
125,,Surface,5,Image 1,1,3041,
142,,Surface,5,Image 1,1,3042,
110,,Surface,5,Image 1,1,3043,
116,,Surface,5,Image 1,1,3044,
132,,Surface,5,Image 1,1,3045,
136,,Surface,5,Image 1,1,3046,
141,,Surface,5,Image 1,1,3047,
97,,Surface,5,Image 1,1,3048,
127,,Surface,5,Image 1,1,3049,
138,,Surface,5,Image 1,1,3050,
109,,Surface,5,Image 1,1,3051,
117,,Surface,5,Image 1,1,3052,
181,,Surface,5,Image 1,1,3053,
101,,Surface,5,Image 1,1,3054,
105,,Surface,5,Image 1,1,3055,
96,,Surface,5,Image 1,1,3056,
125,,Surface,5,Image 1,1,3057,
120,,Surface,5,Image 1,1,3058,
149,,Surface,5,Image 1,1,3059,
111,,Surface,5,Image 1,1,3060,
111,,Surface,5,Image 1,1,3061,
166,,Surface,5,Image 1,1,3062,
120,,Surface,5,Image 1,1,3063,
92,,Surface,5,Image 1,1,3064,
154,,Surface,5,Image 1,1,3065,
143,,Surface,5,Image 1,1,3066,
106,,Surface,5,Image 1,1,3067,
127,,Surface,5,Image 1,1,3068,
134,,Surface,5,Image 1,1,3069,
94,,Surface,5,Image 1,1,3070,
135,,Surface,5,Image 1,1,3071,
140,,Surface,5,Image 1,1,3072,
78,,Surface,5,Image 1,1,3073,
132,,Surface,5,Image 1,1,3074,
155,,Surface,5,Image 1,1,3075,
135,,Surface,5,Image 1,1,3076,
128,,Surface,5,Image 1,1,3077,
124,,Surface,5,Image 1,1,3078,
161,,Surface,5,Image 1,1,3079,
120,,Surface,5,Image 1,1,3080,
134,,Surface,5,Image 1,1,3081,
106,,Surface,5,Image 1,1,3082,
109,,Surface,5,Image 1,1,3083,
150,,Surface,5,Image 1,1,3084,
142,,Surface,5,Image 1,1,3085,
127,,Surface,5,Image 1,1,3086,
120,,Surface,5,Image 1,1,3087,
122,,Surface,5,Image 1,1,3088,
119,,Surface,5,Image 1,1,3089,
138,,Surface,5,Image 1,1,3090,
118,,Surface,5,Image 1,1,3091,
136,,Surface,5,Image 1,1,3092,
114,,Surface,5,Image 1,1,3093,
115,,Surface,5,Image 1,1,3094,
138,,Surface,5,Image 1,1,3095,
140,,Surface,5,Image 1,1,3096,
135,,Surface,5,Image 1,1,3097,
141,,Surface,5,Image 1,1,3098,
131,,Surface,5,Image 1,1,3099,
120,,Surface,5,Image 1,1,3100,
127,,Surface,5,Image 1,1,3101,
166,,Surface,5,Image 1,1,3102,
140,,Surface,5,Image 1,1,3103,
103,,Surface,5,Image 1,1,3104,
116,,Surface,5,Image 1,1,3105,
129,,Surface,5,Image 1,1,3106,
103,,Surface,5,Image 1,1,3107,
